prior,reps,time,state,obs,action,value
bistable,2,20,28,28,1,-0
bistable,2,21,29,29,1,-0
bistable,2,22,28,28,1,-0
bistable,2,23,27,27,1,-0
bistable,2,24,26,26,1,-0
bistable,2,25,26,26,1,-0
bistable,2,26,25,25,1,-0
bistable,2,27,27,27,1,-0
bistable,2,28,26,26,1,-0
bistable,2,29,27,27,1,-0
bistable,2,30,26,26,1,-0
bistable,2,31,27,27,1,-0
bistable,2,32,26,26,1,-0
bistable,2,33,26,26,1,-0
bistable,2,34,26,26,1,-0
bistable,2,35,25,25,1,-0
bistable,2,36,25,25,1,-0
bistable,2,37,25,25,1,-0
bistable,2,38,26,26,1,-0
bistable,2,39,26,26,1,-0
bistable,2,40,26,26,1,-0
bistable,2,41,25,25,1,-0
bistable,2,42,24,24,1,-0
bistable,2,43,25,25,1,-0
bistable,2,44,26,26,1,-0
bistable,2,45,28,28,1,-0
bistable,2,46,29,29,1,-0
bistable,2,47,29,29,1,-0
bistable,2,48,30,30,1,-0
bistable,2,49,31,31,1,-0
bistable,2,50,31,31,1,-0
bistable,2,51,31,31,1,-0
bistable,2,52,33,33,6,-4.746520840731327
bistable,2,53,32,32,3,-1.8967097279562384
bistable,2,54,29,29,1,-0
bistable,2,55,28,28,1,-0
bistable,2,56,26,26,1,-0
bistable,2,57,26,26,1,-0
bistable,2,58,26,26,1,-0
bistable,2,59,27,27,1,-0
bistable,2,60,26,26,1,-0
bistable,3,1,21,21,1,-0
bistable,3,2,21,21,1,-0
bistable,3,3,21,21,1,-0
bistable,3,4,23,23,1,-0
bistable,3,5,24,24,1,-0
bistable,3,6,24,24,1,-0
bistable,3,7,24,24,1,-0
bistable,3,8,27,27,1,-0
bistable,3,9,26,26,1,-0
bistable,3,10,26,26,1,-0
bistable,3,11,26,26,1,-0
bistable,3,12,25,25,1,-0
bistable,3,13,24,24,1,-0
bistable,3,14,22,22,1,-0
bistable,3,15,23,23,1,-0
bistable,3,16,23,23,1,-0
bistable,3,17,23,23,1,-0
bistable,3,18,22,22,1,-0
bistable,3,19,23,23,1,-0
bistable,3,20,25,25,1,-0
bistable,3,21,24,24,1,-0
bistable,3,22,25,25,1,-0
bistable,3,23,26,26,1,-0
bistable,3,24,27,27,1,-0
bistable,3,25,25,25,1,-0
bistable,3,26,23,23,1,-0
bistable,3,27,25,25,1,-0
